"","name","brewery","rating","style"
"20","Doubleganger","Tree House Brewing Company",100,"American Double / Imperial IPA"
"200","Trademark Dispute: &amp;+","Peg's Cantina &amp; Brew Pub",98,"American Double / Imperial Stout"
"201","The Streets","Trillium Brewing Company",98,"American Double / Imperial IPA"
"202","Born Yesterday APA","Lagunitas Brewing Company",98,"American Pale Ale (APA)"
"203","Bad Boy","Alpine Beer Company",98,"American Double / Imperial IPA"
"204","Caffe Americano - Rum Barrel Aged","Cigar City Brewing",98,"American Double / Imperial Stout"
"205","HOPSMACK!","Toppling Goliath Brewing Company",98,"American Double / Imperial IPA"
"206","Coffee Abraxas","Perennial Artisan Ales",98,"American Double / Imperial Stout"
"207","Mother Of All Storms","Pelican Pub &amp; Brewery",98,"English Barleywine"
"208","Double Nelson","Hill Farmstead Brewery",98,"American Double / Imperial IPA"
"209","Consecration","Russian River Brewing Company",98,"American Wild Ale"
"21","JJJuliusss","Tree House Brewing Company",100,"American IPA"
"210","Rodenbach Alexander ","Brouwerij Rodenbach N.V.",98,"Flanders Red Ale"
"211","Citra Showers","Noble Ale Works",98,"American Double / Imperial IPA"
"212","Yellow Rose","The Lone Pint Brewery",98,"American IPA"
"213","Sang Noir","Cascade Brewing / Raccoon Lodge &amp; Brewpub",98,"American Wild Ale"
"214","Coriolis","New England Brewing Co.",98,"American Double / Imperial IPA"
"215","Mind The Hop","Aslin Beer Company",98,"American Double / Imperial IPA"
"216","Temptation","Russian River Brewing Company",98,"American Wild Ale"
"217","Darkstar November","Bottle Logic Brewing",98,"Russian Imperial Stout"
"218","Ghost In The Machine","Parish Brewing Company",98,"American Double / Imperial IPA"
"219","XHOPS (Gold Label)","Toppling Goliath Brewing Company",98,"American Pale Ale (APA)"
"22","King Sue","Toppling Goliath Brewing Company",100,"American Double / Imperial IPA"
"220","Epiphany","Foundation Brewing Company",98,"American Double / Imperial IPA"
"221","Samuel Adams Utopias","Boston Beer Company (Samuel Adams)",98,"American Strong Ale"
"222","Mocha Wednesday","The Bruery",98,"American Double / Imperial Stout"
"223","Stone Enjoy By IPA","Stone Brewing",98,"American Double / Imperial IPA"
"224","The Pupil","Societe Brewing Co.",98,"American IPA"
"225","Tweak","Avery Brewing Company",98,"American Double / Imperial Stout"
"226","Rare DOS","Peg's Cantina &amp; Brew Pub",98,"American Double / Imperial Stout"
"227","Double Dry Hopped Scaled","Trillium Brewing Company",98,"American IPA"
"228","Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan",98,"Hefeweizen"
"229","Péché Mortel","Brasserie Dieu du Ciel!",97,"American Double / Imperial Stout"
"23","Sunday Brunch","Kane Brewing Company",100,"American Porter"
"230","Afterimage","Grimm Artisanal Ales",97,"American Double / Imperial IPA"
"231","Nut Smasher","Willoughby Brewing",97,"American Double / Imperial Stout"
"232","Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!",97,"American Double / Imperial Stout"
"233","Bourbon Barrel Black Maple","Jackie O's Pub &amp; Brewery",97,"American Porter"
"234","Vicinity","Trillium Brewing Company",97,"American Double / Imperial IPA"
"235","Trademark Dispute: Nooner 10","Peg's Cantina &amp; Brew Pub",97,"American Double / Imperial Stout"
"236","Dialed In (w/  Pinot Gris Juice)","Trillium Brewing Company",97,"American Double / Imperial IPA"
"237","Softly Spoken Magic Spells","SingleCut Beersmiths",97,"American Double / Imperial IPA"
"238","Great","Alpine Beer Company",97,"American Barleywine"
"239","Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room",97,"American Strong Ale"
"24","Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",100,"Quadrupel (Quad)"
"240","Dreadnaught IPA","3 Floyds Brewing Co.",97,"American Double / Imperial IPA"
"241","Grey Monday","The Bruery",97,"American Double / Imperial Stout"
"242","Box Set Track #10 - Bat Out Of Hell","The Lost Abbey",97,"American Double / Imperial Stout"
"243","All Green Everything","Other Half Brewing Co.",97,"American Double / Imperial IPA"
"244","Pipeworks / 4 Hands Emerald Grouper","Pipeworks Brewing Company",97,"American Double / Imperial IPA"
"245","Mexican Cake","Westbrook Brewing Co.",97,"American Double / Imperial Stout"
"246","Lambo Door","Grimm Artisanal Ales",97,"American Double / Imperial IPA"
"247","Edward","Hill Farmstead Brewery",97,"American Pale Ale (APA)"
"248","Spotted Puffer","Pipeworks Brewing Company",97,"American Double / Imperial IPA"
"249","Peche 'n Brett","Logsdon Farmhouse Ales",97,"Saison / Farmhouse Ale"
"25","Pliny The Elder","Russian River Brewing Company",100,"American Double / Imperial IPA"
"250","Breakfast Exorcism","Clown Shoes",97,"American Double / Imperial Stout"
"26","Morning Wood","Funky Buddha Brewery",100,"American Porter"
"27","Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery",100,"American Porter"
"28","Bourbon County Brand Coffee Stout","Goose Island Beer Co.",100,"American Double / Imperial Stout"
"29","Double Dry Hop PseudoSue (Citra)","Toppling Goliath Brewing Company",100,"American Pale Ale (APA)"
"3","Very Hazy","Tree House Brewing Company",100,"American Double / Imperial IPA"
"30","Abner","Hill Farmstead Brewery",100,"American Double / Imperial IPA"
"31","Ann","Hill Farmstead Brewery",100,"Saison / Farmhouse Ale"
"32","Focal Banger India Pale Ale","The Alchemist Brewery and Visitors Center",100,"American IPA"
"33","Double Shot","Tree House Brewing Company",100,"American Stout"
"34","Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company",100,"American Double / Imperial Stout"
"35","Green","Tree House Brewing Company",100,"American IPA"
"36","Double Sunshine IPA","Lawson's Finest Liquids",100,"American Double / Imperial IPA"
"37","Nectarine Premiere","de Garde Brewing",100,"Saison / Farmhouse Ale"
"38","Sip Of Sunshine IPA","Lawson's Finest Liquids",100,"American Double / Imperial IPA"
"39","Alter Ego","Tree House Brewing Company",100,"American IPA"
"4","King Julius","Tree House Brewing Company",100,"American Double / Imperial IPA"
"40","Double Dry Hopped Congress Street","Trillium Brewing Company",100,"American IPA"
"41","Society &amp; Solitude #4","Hill Farmstead Brewery",100,"American Double / Imperial IPA"
"42","Fuzzy","Side Project Brewing",100,"American Wild Ale"
"43","Citra","Kern River Brewing Company",100,"American Double / Imperial IPA"
"44","Assassin Imperial Stout","Toppling Goliath Brewing Company",100,"American Double / Imperial Stout"
"45","Doppelganger","Tree House Brewing Company",100,"American Double / Imperial IPA"
"46","Headroom","Trillium Brewing Company",100,"American Double / Imperial IPA"
"47","Parabola","Firestone Walker Brewing Co.",100,"Russian Imperial Stout"
